com/google/gson/DefaultDateTypeAdapter.java#100#class org.eclipse.jdt.core.dom.ThrowStatement
com/google/gson/stream/JsonReader.java#283#class org.eclipse.jdt.core.dom.FieldDeclaration
com/google/gson/stream/JsonReader.java#284#class org.eclipse.jdt.core.dom.FieldDeclaration
com/google/gson/stream/JsonReader.java#290#class org.eclipse.jdt.core.dom.IfStatement
com/google/gson/stream/JsonReader.java#293#class org.eclipse.jdt.core.dom.ExpressionStatement
com/google/gson/stream/JsonReader.java#294#class org.eclipse.jdt.core.dom.MethodDeclaration
com/google/gson/stream/JsonReader.java#289#class org.eclipse.jdt.core.dom.MethodDeclaration
com/google/gson/TypeAdapter.java#119#unknown
com/google/gson/stream/JsonReader.java#430#class org.eclipse.jdt.core.dom.ReturnStatement
com/google/gson/stream/JsonReader.java#574#class org.eclipse.jdt.core.dom.ReturnStatement
com/google/gson/stream/JsonReader.java#611#class org.eclipse.jdt.core.dom.IfStatement
com/google/gson/stream/JsonReader.java#607#class org.eclipse.jdt.core.dom.IfStatement
com/google/gson/stream/JsonReader.java#603#class org.eclipse.jdt.core.dom.IfStatement
com/google/gson/stream/JsonReader.java#579#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
com/google/gson/stream/JsonReader.java#580#class org.eclipse.jdt.core.dom.IfStatement
com/google/gson/stream/JsonReader.java#576#class org.eclipse.jdt.core.dom.ExpressionStatement
com/google/gson/stream/JsonReader.java#599#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
com/google/gson/stream/JsonReader.java#1309#class org.eclipse.jdt.core.dom.ReturnStatement
