org/jsoup/helper/Validate.java#92#class org.eclipse.jdt.core.dom.ThrowStatement
org/jsoup/parser/HtmlTreeBuilderState.java#20#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Token.java#248#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Token.java#224#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilderState.java#1462#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TreeBuilder.java#40#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#41#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/HtmlTreeBuilderState.java#1452#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Token.java#256#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokeniserState.java#161#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokeniserState.java#140#class org.eclipse.jdt.core.dom.SwitchStatement
org/jsoup/parser/TokeniserState.java#15#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokeniserState.java#16#class org.eclipse.jdt.core.dom.BreakStatement
org/jsoup/parser/HtmlTreeBuilder.java#43#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#45#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#46#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#47#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#49#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#38#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#110#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/HtmlTreeBuilder.java#111#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#42#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tokeniser.java#96#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#97#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#98#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/CharacterReader.java#47#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/CharacterReader.java#48#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Tokeniser.java#92#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#93#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/CharacterReader.java#38#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/CharacterReader.java#39#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/CharacterReader.java#37#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/helper/Validate.java#25#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/helper/Validate.java#27#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokeniserState.java#29#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/helper/Validate.java#63#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TreeBuilder.java#14#unknown
org/jsoup/parser/TreeBuilder.java#24#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#25#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#27#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/CharacterReader.java#33#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TreeBuilder.java#28#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#29#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#36#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tokeniser.java#41#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/Tokeniser.java#42#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#45#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tokeniser.java#50#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#51#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Tokeniser.java#56#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#58#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#59#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#61#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tokeniser.java#71#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TreeBuilder.java#30#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#31#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#32#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TreeBuilder.java#33#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/helper/Validate.java#65#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Token.java#13#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TreeBuilder.java#47#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TreeBuilder.java#48#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Token.java#14#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/helper/DescendableLinkedList.java#16#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/jsoup/helper/DescendableLinkedList.java#17#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokeniserState.java#10#class org.eclipse.jdt.core.dom.SwitchStatement
org/jsoup/nodes/Document.java#31#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Document.java#29#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/jsoup/nodes/Document.java#18#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#19#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#27#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Tag.java#17#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#18#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#19#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#20#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#21#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#22#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#23#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#24#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#25#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tag.java#28#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#29#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Tag.java#53#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#54#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#55#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#57#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#59#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#60#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#61#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Document.java#30#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Element.java#51#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Element.java#50#class org.eclipse.jdt.core.dom.ConstructorInvocation
org/jsoup/nodes/Element.java#38#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Element.java#39#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Element.java#35#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/jsoup/parser/Tag.java#49#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#50#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#52#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#64#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#37#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/helper/Validate.java#93#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Document.java#234#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Document.java#226#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#227#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#228#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#229#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#230#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#231#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/nodes/Document.java#232#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/ParseErrorList.java#28#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/CharacterReader.java#20#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/CharacterReader.java#21#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/CharacterReader.java#22#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/CharacterReader.java#18#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/CharacterReader.java#15#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/ParseErrorList.java#15#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/jsoup/parser/ParseErrorList.java#16#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/ParseErrorList.java#17#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/CharacterReader.java#16#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/CharacterReader.java#19#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#30#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Tokeniser.java#18#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tokeniser.java#20#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tokeniser.java#21#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tokeniser.java#28#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/parser/Tokeniser.java#31#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#32#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tokeniser.java#33#class org.eclipse.jdt.core.dom.MethodDeclaration
