org/jsoup/select/Selector.java#187#class org.eclipse.jdt.core.dom.ThrowStatement
org/jsoup/parser/TokenQueue.java#287#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#269#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#270#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#271#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#274#class org.eclipse.jdt.core.dom.BreakStatement
org/jsoup/parser/TokenQueue.java#275#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#276#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#99#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#100#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#101#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#94#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#95#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#96#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#98#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/Parser.java#271#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Tag.java#195#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#197#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#130#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#131#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Elements.java#438#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#196#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#397#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#398#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/select/Selector.java#399#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/select/Selector.java#400#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#401#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#402#class org.eclipse.jdt.core.dom.ContinueStatement
org/jsoup/select/Selector.java#406#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#164#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#391#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#389#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#390#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/select/Selector.java#127#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#393#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#231#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#232#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#235#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#236#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#230#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#125#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#120#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#133#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#118#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Attribute.java#119#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attribute.java#120#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Attribute.java#118#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Node.java#104#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Node.java#105#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#1028#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#1029#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Node.java#392#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Node.java#394#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#202#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#196#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#199#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/Parser.java#200#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attributes.java#70#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#193#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Attribute.java#95#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Attribute.java#96#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#379#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#207#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#143#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#144#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Parser.java#184#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#185#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#186#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#187#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#188#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#189#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#191#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#381#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#378#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/Parser.java#141#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#142#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#377#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#204#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#206#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#352#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#353#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#354#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#356#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#219#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#222#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#224#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#163#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#218#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#162#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#316#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#317#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#164#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Attribute.java#22#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attribute.java#23#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attribute.java#24#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attribute.java#25#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attribute.java#26#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Attribute.java#33#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#160#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Attributes.java#51#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attributes.java#52#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Attributes.java#53#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Attribute.java#21#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#402#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Elements.java#19#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Elements.java#20#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#105#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#107#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#110#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#113#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#116#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/select/Elements.java#21#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Element.java#1040#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Element.java#1041#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#231#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#232#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#233#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#234#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#235#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#236#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#237#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#1042#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#65#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#66#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#67#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#68#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#192#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#193#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#69#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#134#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#71#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#72#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#73#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#74#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#75#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#84#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Node.java#399#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Elements.java#440#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#199#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Node.java#401#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#158#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Attributes.java#151#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#122#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#210#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/Parser.java#123#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#125#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#214#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#126#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#127#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#128#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#130#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Parser.java#86#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#121#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#227#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/Parser.java#94#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#42#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#219#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#223#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#224#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#226#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#247#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#248#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#91#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#102#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#87#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#89#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#297#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#298#class org.eclipse.jdt.core.dom.ForStatement
org/jsoup/parser/Parser.java#299#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#300#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#301#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#302#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#304#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#305#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#306#class org.eclipse.jdt.core.dom.BreakStatement
org/jsoup/parser/Parser.java#309#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#310#class org.eclipse.jdt.core.dom.ForStatement
org/jsoup/parser/Parser.java#311#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#314#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/TextNode.java#95#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/TextNode.java#96#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#296#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/TextNode.java#28#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#48#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Node.java#49#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#46#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#47#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Node.java#210#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/TextNode.java#25#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/TextNode.java#26#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/TextNode.java#27#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#281#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#278#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#246#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#243#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#244#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#250#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#253#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#254#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#255#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#256#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#250#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#248#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#249#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#204#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#88#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#85#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/Jsoup.java#44#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#193#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#194#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#192#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#206#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#190#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#191#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#187#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Entities.java#63#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#155#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#268#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#100#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#160#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#174#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Parser.java#181#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokenQueue.java#109#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/TokenQueue.java#110#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#113#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#128#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#129#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Parser.java#84#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#130#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#132#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#141#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#314#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#315#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#149#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#98#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/TokenQueue.java#319#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#339#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#76#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#78#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#81#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#84#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#87#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#91#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#95#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#104#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#111#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Tag.java#151#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Tag.java#159#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#340#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/Tag.java#191#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#341#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/Tag.java#199#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#202#class org.eclipse.jdt.core.dom.ForStatement
org/jsoup/parser/Tag.java#203#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#343#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#175#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#177#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#237#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#238#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#239#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Tag.java#219#class org.eclipse.jdt.core.dom.ReturnStatement
